Strategy,Tier,Ticker,Signal Date,rows,pnl,risk,gap_atr,size_mult,any_eodd,all_tgt,all_time,far_time,far_R,entry,R,year,era,path_gap,path_size,exit_pos,rank_2d,rank_5d,rank_10d,rank_21d,extremity,cell,sector,semis,megacap_tech,theme
Overbot Vol Spike,Overflow,TECK,2008-02-27,2,419.0,900.0,0.1999351085425637,0.2,False,False,False,True,0.10881804536809894,2008-02-28,0.46555555555555556,2008,pre,P2,P2,Mixed,94.89723600283487,96.80397727272727,99.35851746258018,96.62356321839081,96.92082348913328,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,MTH,2008-04-02,2,862.0,900.0,0.11912937414444522,0.2,False,False,False,True,0.9314832636131536,2008-04-03,0.9577777777777777,2008,pre,P2,P2,Mixed,98.21342346692418,96.13152804642166,99.22443044110518,98.83040935672514,98.09994782779404,top,Consumer Cyclical,False,False,False
Overbot Vol Spike,Liquid,MRSH,2008-04-17,2,4249.0,4500.0,0.35311412825959787,1.0,False,False,False,True,0.9069421384873219,2008-04-18,0.9442222222222222,2008,pre,P1,P1,Mixed,96.70094258783205,96.86829686829687,91.96044711951849,91.87904967602591,94.35218406291833,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,CX,2008-05-16,2,4591.0,4500.0,0.3600284579986777,1.0,False,False,False,True,1.0336393236047667,2008-05-19,1.0202222222222221,2008,pre,P1,P1,Mixed,98.05040418449835,95.66666666666667,97.3747016706444,98.84836852207293,97.48503526097059,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,PKG,2008-05-16,2,1781.0,4500.0,0.7893850475191599,1.0,False,False,False,True,-0.007222871889842603,2008-05-19,0.3957777777777778,2008,pre,P1,P1,Mixed,94.91606714628298,97.21421709894332,98.0259990370727,98.54791868344628,97.17605049143631,top,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,MTZ,2008-05-20,2,1238.0,900.0,0.20505924780124768,0.2,False,False,False,True,1.6256022073431897,2008-05-21,1.3755555555555556,2008,pre,P2,P2,Mixed,97.62470308788599,94.24357754519505,96.23271340009538,97.41131351869608,96.37807688796813,top,Industrials,False,False,False
Overbot Vol Spike,Overflow,MOH,2008-05-29,1,-2356.0,4500.0,0.49704110457528927,1.0,True,False,False,False,,2008-05-30,-0.5235555555555556,2008,pre,P1,P1,EOD-DD,87.60129659643437,85.05280259951259,96.3295269168026,96.70781893004116,91.42286126069769,bottom,Healthcare,False,False,False
Overbot Vol Spike,Overflow,GRMN,2008-06-03,2,1439.0,900.0,0.04841740492328657,0.2,False,True,False,False,1.9987654646952822,2008-06-04,1.5988888888888888,2008,pre,P2,P2,Target,97.38945125199787,95.5709711846318,89.7271268057785,95.15608180839612,94.46090776270108,top,Technology,False,False,False
Overbot Vol Spike,Overflow,CRK,2008-06-18,2,-252.0,900.0,0.07413713620410595,0.2,False,False,True,True,-0.28041078516402645,2008-06-19,-0.28,2008,pre,P2,P2,Time,97.2235294117647,94.3449575871819,99.0552668871044,97.76828110161443,97.09800874691635,top,Energy,False,False,False
Overbot Vol Spike,Overflow,MKC,2008-08-05,2,599.0,900.0,0.020470791043392916,0.2,False,False,False,True,0.44334582031670877,2008-08-06,0.6655555555555556,2008,pre,P2,P2,Mixed,95.78313253012048,87.70301624129931,88.23255813953489,99.11173445535297,92.70761034157691,bottom,Consumer Defensive,False,False,False
Overbot Vol Spike,Overflow,HOG,2008-08-08,2,1053.0,900.0,0.0470339042959628,0.2,False,False,False,True,1.284462864592746,2008-08-11,1.17,2008,pre,P2,P2,Mixed,85.05321610365571,98.00741427247452,97.02740362285184,99.15966386554622,94.81192446613207,top,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,RNST,2008-08-08,2,-220.0,900.0,0.008511586430892438,0.2,False,False,True,True,-0.2453358776642975,2008-08-11,-0.24444444444444444,2008,pre,P2,P2,Time,87.043035631652,97.59036144578313,97.86344635392476,99.6265172735761,95.530840176234,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,BC,2008-08-08,2,1050.0,900.0,0.02828054399546673,0.2,False,False,False,True,1.2773946050250087,2008-08-11,1.1666666666666667,2008,pre,P2,P2,Mixed,95.7889865802869,98.60982391102873,98.97816999535532,100.0,98.34424512166774,top,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,HNI,2008-08-14,2,7200.0,4500.0,0.28071593245191534,1.0,False,True,False,False,1.999887129212083,2008-08-15,1.6,2008,pre,P1,P1,Target,93.53348729792148,97.87234042553192,85.39638386648123,99.53401677539608,94.08405709133268,top,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,TOL,2008-08-14,2,6881.0,4500.0,0.4646716300512596,1.0,False,False,False,True,1.8816070808490217,2008-08-15,1.529111111111111,2008,pre,P1,P1,Mixed,96.76674364896074,96.3922294172063,88.27074640704683,92.12488350419385,93.38865074435193,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Liquid,MAS,2008-08-27,2,-433.0,900.0,0.10862577442354489,0.2,False,False,True,True,-0.4807744042484068,2008-08-28,-0.4811111111111111,2008,pre,P2,P2,Time,90.43238270469182,85.44449562413634,93.90581717451524,93.1322505800464,90.72873652084745,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,CLX,2008-09-08,2,709.0,900.0,0.09575359583581099,0.2,False,False,False,True,0.646881874793907,2008-09-09,0.7877777777777778,2008,pre,P2,P2,Mixed,86.15314076111875,97.2910927456382,91.44040497008744,96.80851063829788,92.92328727878557,bottom,Consumer Defensive,False,False,False
