Strategy,Ticker,Entry Date,Direction,tranches,shares,ledger_entry_px,ledger_exit_px,ledger_R,ATR,stop_atr,entry_side,exit_side,dir,entry_session,live_entry_px,live_entry_qty,live_exit_px,ambiguous,live_R,entry_slip_bps,exit_slip_bps,qty_ratio,diff
3x Bear ETF Overbot Fade,EDZ,2026-07-29,Short,1,2854.0,19.66428623880659,16.899999618530273,2.493557455737567,1.1085712569100517,1.0,SELL,BUY,-1.0,2026-07-29,19.66,2282.0,16.74818181818182,False,2.6266405191979847,2.1797072899246563,-89.83301998539133,0.7995795374912403,0.13308306346041787
Oversold Low Volume,INOD,2026-07-29,Long,1,161.0,54.91339233943394,64.6794628415789,1.9999916647298759,3.90642820085798,1.25,BUY,SELL,1.0,2026-07-29,54.91,230.0,64.69,False,2.0028526310253425,-0.6177617680173484,-1.6291351161821341,1.4285714285714286,0.002860966295466616
3x Bear ETF Overbot Fade,TZA,2026-07-30,Short,1,1813.0,42.61535712650844,39.70000076293945,1.880008383367659,1.5507139478410994,1.0,SELL,BUY,-1.0,2026-07-30,42.62,700.0,39.987249999999996,False,1.6977663763618753,-1.0894836520487752,72.3549701612838,0.3861003861003861,-0.18224200700578375
3x ETF Overbot Fade,YINN,2026-07-30,Short,1,3455.0,32.53107057298933,32.2599983215332,0.20817390407468667,1.302142824445452,1.0,SELL,BUY,-1.0,2026-07-30,32.53,3455.0,32.299749999999996,False,0.1768239210610883,0.32909245544975885,12.3222816289668,1.0,-0.03134998301359837
Oversold Low Volume,ACLS,2026-07-29,Long,1,45.0,115.13535554068429,139.6085717337472,1.9999730690013378,9.789286477225167,1.25,BUY,SELL,1.0,2026-07-29,117.58000000000001,91.0,136.83,False,1.5731483633488703,212.32786817181315,199.02586920280973,2.022222222222222,-0.42682470565246744
Oversold Low Volume,MDU,2026-07-31,Long,1,1051.0,19.863034997667587,20.932678154536656,1.9999999449096548,0.42785726274762836,1.25,BUY,SELL,1.0,2026-07-31,19.86,1051.0,20.691335871,False,1.5544172197265962,-1.5279627045633135,115.29450830655016,1.0,-0.44558272518305864
Oversold Low Volume,POWI,2026-07-27,Long,1,109.0,62.435177666800364,61.970001220703125,-0.09078141960323753,4.0992856706891745,1.25,BUY,SELL,1.0,2026-07-27,62.44,219.0,62.03,False,-0.08001394056171102,0.7723743856979913,-9.681907070357063,2.0091743119266057,0.010767479041526515
Oversold Low Volume,POWI,2026-07-28,Long,1,161.0,60.349998474121094,63.27000045776367,0.5995232189931802,3.8964285169328963,1.25,BUY,SELL,1.0,2026-07-28,60.909565217,230.0,63.205,False,0.47129000786738245,92.72025799948561,10.27350360255886,1.4285714285714286,-0.12823321112579772
Oversold Low Volume,POWI,2026-07-29,Long,1,216.0,57.12357221330915,63.84000015258789,1.293840005291097,4.152857099260602,1.25,BUY,SELL,1.0,2026-07-29,58.16,216.0,63.8284,False,1.091951851848548,181.43609486126775,1.817066503784832,1.0,-0.20188815344254896
Oversold Low Volume,AEP,2026-08-03,Long,1,570.0,126.19334411621094,126.52999877929688,0.0974910915791879,2.762542724609375,1.25,BUY,SELL,1.0,2026-08-03,127.16,565.0,126.545,False,-0.17809679308021018,76.60117818090862,-1.1855860940371115,0.9912280701754386,-0.2755878846593981
LT Trend ST OS,GL,2026-08-20,Long,1,871.0,170.4919716971261,171.0800018310547,0.1518616039736581,3.8721400669642856,1.0,BUY,SELL,1.0,2026-08-20,170.49,871.0,171.14699196300003,False,0.16967153864222134,-0.1156475056548385,-3.9157196182111402,1.0,0.017809934668563232
Oversold Low Volume,LUV,2026-08-18,Long,1,1069.0,42.98196274893625,37.68000030517578,-2.8812212790921747,1.4721429007393974,1.25,BUY,SELL,1.0,2026-08-18,42.850645463,1069.0,37.673222638,False,-2.8135436158539187,-30.551719264960298,1.7987439280491893,1.0,0.06767766323825608
Oversold Low Volume,POWI,2026-08-24,Long,1,637.0,53.95696449279785,50.29999923706055,-0.8282708569866462,3.5321426391601562,1.25,BUY,SELL,1.0,2026-08-24,53.96000000000001,637.0,49.78,False,-0.9467341332498153,0.5625793131045341,103.37957156019506,1.0,-0.1184632762631691
Oversold Low Volume,POWI,2026-08-20,Long,1,629.0,54.896786621638704,49.765064779663085,-1.149045247772254,3.572857175554548,1.25,BUY,SELL,1.0,2026-08-20,54.9,629.0,49.78,False,-1.1464214209358234,0.5853490812571992,-3.0011455632666215,1.0,0.002623826836430476
Oversold Low Volume,UNH,2026-08-20,Long,1,235.0,386.2728418622698,399.6600036621094,1.145598645711521,9.348573957170759,1.25,BUY,SELL,1.0,2026-08-20,386.27,235.0,399.665,False,1.1462710835999108,-0.07357137136804964,-0.12501470862392308,1.0,0.0006724378883897764
Oversold Low Volume,LUV,2026-08-20,Long,1,2268.0,40.86000061035156,38.61000061035156,-1.2962956130517975,1.3885718754359655,1.25,BUY,SELL,1.0,2026-08-20,40.738936508,2268.0,38.561880152,False,-1.2542707479605133,-29.62900160135827,12.463210979245778,1.0,0.042024865091284225
Oversold Low Volume,UNH,2026-08-19,Long,1,161.0,386.61963435581754,399.6600036621094,1.0702902634903086,9.747144426618304,1.25,BUY,SELL,1.0,2026-08-19,391.49,161.0,399.665,False,0.6709657427605196,125.973054945785,-0.12501470862392308,1.0,-0.3993245207297891
Oversold Low Volume,LUV,2026-08-19,Long,1,1577.0,42.14053733008249,38.61000061035156,-2.0205417478401686,1.397857393537249,1.25,BUY,SELL,1.0,2026-08-19,42.14,1577.0,38.561880152,False,-2.0477738942715136,-0.12750907238753972,12.463210979245778,1.0,-0.027232146431344972
